Project name,Description of the project
TeamSync,"TeamSync aims to improve the quality and balance of student teams by offering a data-driven, user-friendly experience for discovering, evaluating, and matching with potential teammates."
RandomCoffee,"Random Coffee is a web-based service integrated within a Telegram bot, designed to foster meaningful connections through casual meetups. Users can register, set their preferences, and choose relevant tags that reflect their interests or professional background. Once a week, the system matches them with others who share similar tags and suggests setting up a meeting.
 
 The bot is intended for deployment within companies, universities, or other communities to encourage networking, experience sharing, and informal communication among members. By facilitating regular, low-pressure interactions, Random Coffee helps build stronger internal networks and promotes a culture of collaboration and openness."
EvOps 🐳,A self-hosted platform to share and discover local events (alternative to Opportunities For You).
UrTraining,"A web-based platform for creating, distributing and following personalized training plans. Users receive AI-powered workout recommendations based on their goals and conditions. Coaches can publish and manage their own training programs quickly and comfortably."
Online game 7Red,"An online version of the Russian game ""7Red"" with with secure user authentication, a main menu for navigation, and multiple game modes: Play with Friends (private rooms), Play Online (matchmaking), and Play with AI.
 
 It includes player statistics, achievements, and a rules section for guidance. Users can customize profiles, avatars, and language in settings.
 
 The backend features real-time multiplayer sync, a database for accounts and live games, and user-friendly error handling for a smooth experience."
Solar Wind,"Our app is designed to connect people through their shared passion for sports and an active lifestyle. Whether you're looking for a workout buddy, someone to play a match with, or just want to meet new people who love staying active, this is the place to start.
 Explore nearby users with similar interests, join local sports events, or simply connect and chat with like-minded athletes. From casual joggers to competitive players — everyone is welcome."
Project 'Control',"A software and hardware product for the robotics laboratory of Innopolis University in order to study and improve skills in the field of Control Theory, Reinforcement Learning (RL), Shapers and other areas of Modern Robotics"
SmartClause,"Smart Clause is an AI-powered service for contract analysis that helps users identify legal risks, inconsistencies, and compliance issues without requiring extensive legal expertise. The platform leverages semantic search through vectorized legal databases and language models to provide comprehensive contract review and risk assessment."
Verilog contest platform,"A contest platform for practicing digital design using hardware description languages, allowing students to solve problems by writing and testing code in a sandboxed environment with automated verification"
EasyTravel,"EasyTravel is a smart service that helps people find interesting places in the city to walk or relax. It is enough for the user to enter a request in free form, for example:
 ""I came to Kazan for a day, I want to have an interesting time, I love museums""
 The service understands the meaning of such a query (and not just keywords) and suggests suitable places to visit — personally, taking into account interests and context."
Smartify,"The project is an educational platform that combines the functions of career guidance, university selection, preparation for the Unified State Exam and the selection of tutors. The main feature is the use of artificial intelligence for personalized recommendations. The app is aimed at students in grades 9-11. It is important to emphasize competitive advantages: accessibility, specific advice, all in one place."
